"metabnames","id"
"X-1126","X-1126"
"X-1129","X-1129"
"X-1130","X-1130"
"X-1213","X-1213"
"X-1288","X-1288"
"X-1330","X-1330"
"X-1391","X-1391"
"X-1455","X-1455"
"X-1461","X-1461"
"X-1465","X-1465"
"X-1496","X-1496"
"X-1497","X-1497"
"X-1575","X-1575"
"X-1593","X-1593"
"X-1595 - possible glutathione metabolite","X-1595 - possible glutathione metabolite"
"X-1597","X-1597"
"X-1609","X-1609"
"X-1612","X-1612"
"X-1616","X-1616"
"X-1677","X-1677"
"X-1713","X-1713"
"X-1733","X-1733"
"X-1736 - retired - p-hydroxybenzaldehyde","X-1736 - retired - p-hydroxybenzaldehyde"
"X-1819","X-1819"
"X-1843 - retired pieces of X-7147","X-1843 - retired pieces of X-7147"
"X-2005","X-2005"
"X-2008","X-2008"
"X-2027","X-2027"
"X-2041","X-2041"
"X-2064","X-2064"
"X-2074","X-2074"
"X-2077","X-2077"
"X-2088","X-2088"
"X-2109","X-2109"
"X-2136","X-2136"
"X-2138","X-2138"
"X-2139","X-2139"
"X-2177","X-2177"
"X-2185","X-2185"
"X-2193","X-2193"
"X-2255 - hydroxyproline form of bradykinin","X-2255 - hydroxyproline form of bradykinin"
"X-2269","X-2269"
"X-2272","X-2272"
"X-2292","X-2292"
"X-2594","X-2594"
"X-2688","X-2688"
"X-2690","X-2690"
"X-2698","X-2698"
"X-2711","X-2711"
"X-2724","X-2724"
"X-2725","X-2725"
"X-2746","X-2746"
"X-2753","X-2753"
"X-2757","X-2757"
"X-2767","X-2767"
"X-2768","X-2768"
"X-2781","X-2781"
"X-3129","X-3129"
"X-3138","X-3138"
"X-3165","X-3165"
"X-3176 - possible creatine","X-3176 - possible creatine"
"X-3178 - possible NH3 adduct of isobar 42","X-3178 - possible NH3 adduct of isobar 42"
"X-3180","X-3180"
"X-3183 - possible gamma-L-glutamyl-L-phenylalanine","X-3183 - possible gamma-L-glutamyl-L-phenylalanine"
"X-3216","X-3216"
"X-3218","X-3218"
"X-3234","X-3234"
"X-3358","X-3358"
"X-3363","X-3363"
"X-3365","X-3365"
"X-3370","X-3370"
"X-3380","X-3380"
"X-3389","X-3389"
"X-3390","X-3390"
"X-3394","X-3394"
"X-3400","X-3400"
"X-3435","X-3435"
"X-3439","X-3439"
"X-3489","X-3489"
"X-3498","X-3498"
"X-3603","X-3603"
"X-3658","X-3658"
"X-3668","X-3668"
"X-3697","X-3697"
"X-3705","X-3705"
"X-3772","X-3772"
"X-3776","X-3776"
"X-3778","X-3778"
"X-3802","X-3802"
"X-3803","X-3803"
"X-3806","X-3806"
"X-3808","X-3808"
"X-3810","X-3810"
"X-3816","X-3816"
"X-3824","X-3824"
"X-3830","X-3830"
"X-3832 - possible phenol sulfate","X-3832 - possible phenol sulfate"
"X-3833","X-3833"
"X-3843","X-3843"
"X-3888","X-3888"
"X-3893","X-3893"
"X-3951","X-3951"
"X-3952","X-3952"
"X-3955","X-3955"
"X-4003","X-4003"
"X-4013","X-4013"
"X-4030 - possible glutethimide or securinine","X-4030 - possible glutethimide or securinine"
"X-4116","X-4116"
"X-4231","X-4231"
"X-4238","X-4238"
"X-4407","X-4407"
"X-4429","X-4429"
"X-4432","X-4432"
"X-4567","X-4567"
"X-4616 - retired duplicate of 5946","X-4616 - retired duplicate of 5946"
"X-4617","X-4617"
"X-4660","X-4660"
"X-4667","X-4667"
"X-4706","X-4706"
"X-4727","X-4727"
"X-4811","X-4811"
"X-4906","X-4906"
"X-5111","X-5111"
"X-5147","X-5147"
"X-5187","X-5187"
"pyridoxal","pyridoxal"
"quinolinic acid","quinolinic acid"
"S-(5'-adenosyl)-L-methionine","S-(5'-adenosyl)-L-methionine"
"S-adenosyl-l-homocysteine","S-adenosyl-l-homocysteine"
"tartaric acid","tartaric acid"
"taurine","taurine"
"tryptophan","tryptophan"
"uridine","uridine"
"uridine diphosphate-N-acetylmuraminic acid","uridine diphosphate-N-acetylmuraminic acid"
"xanthine","xanthine"
